Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
2,"C40, C62",0.001uF,C0805,C0805C102K5RACTU,Kemet,DK,399-1147-1-ND,CAP 1000PF 50V CERAMIC X7R 0805,REF65
1,"C80",0.01uF,C1206,12065C103KAT2A,AVX Corporation,DK,478-1542-1-ND,CAP CERM .01UF 10% 50V X7R 1206,REF3
1,"C5",0.01uF,C0805,C0805C103K5RACTU,Kemet,DK,399-1158-1-ND,CAP 10000PF 50V CERAMIC X7R 0805,REF66
18,"C2, C8, C9, C10, C19, C20, C30, C31, C43, C57, C63, C69, C71, C72, C73, C75, C76, C77",0.1uF,C0805,C0805F104K5RACTU,Kemet,DK,399-5110-1-ND,CAP CER .1UF 50V X7R 0805 FO,REF69
3,"C23, C24, C25",0.1uF,C1206,C1206C104K5RACTU,Kemet,DK,399-1249-1-ND,CAP .10UF 50V CERAMIC X7R 1206,REF67
0,"C78(DNP)",0.1uF,C3216/T,DNP,DO NOT PLACE,(N/A),DO NOT PLACE,DO NOT PLACE,REF14
1,"C55",0.1uF,C3216/T,T491A104K035AT,Kemet,DK,399-3676-1-ND,CAPACITOR TANT .10UF 35V 10% SMD,REF22
1,"L2",0.1uH,L1206,PM1210-R10J,JW Miller A Bourns Company,DK,M6093CT-ND,INDUCTOR .10UH 5% 1210 SMD,REF20
2,"C35, C38",0.047uF,C0805,C0805C473K5RACTU,Kemet,DK,399-1166-1-ND,CAP 47000PF 50V CERAMIC X7R 0805,REF68
3,"C11, C12, C13",0.47uF,C0805,C0805F474K3RACTU,Kemet,DK,399-5112-1-ND,CAP CER .47UF 25V X7R 0805 FO,REF74
1,"C41",0.0068uF,C0805,C0805C682K5RACTU,Kemet,DK,399-1157-1-ND,CAP 6800PF 50V CERAMIC X7R 0805,REF79
2,"R80, R81",0R,R0805,RC0805JR-070RL,Yageo,DK,311-0.0ARCT-ND,RES 0.0 OHM 1/8W 5% 0805 SMD,REF92
2,"R82, R83",1.00K,R0805,ERJ-6ENF1001V,Panasonic - ECG,DK,P1.00KCCT-ND,RES 1.00K OHM 1/8W 1% 0805 SMD,REF45
4,"R16, R46, R55, R62",1M,R0805,ERJ-6ENF1004V,Panasonic - ECG,DK,P1.00MCCT-ND,RES 1.00M OHM 1/8W 1% 0805 SMD,REF46
14,"C1, C22, C39, C44, C45, C47, C50, C52, C58, C59, C61, C64, C65, C66",1uF,C0805,C0805C105Z3VACTU,Kemet,DK,399-1293-1-ND,CAP 1.0UF 25V CERAMIC Y5V 0805,REF73
1,"C67",1uF,C3216/T,T491A105K016AT,Kemet,DK,399-3678-1-ND,CAPACITOR TANT 1.0UF 16V 10% SMD,REF23
1,"C56",2.2uF,C3216/T,T491A225K010AT,Kemet,DK,399-3690-1-ND,CAPACITOR TANT 2.2UF 10V 10% SMD,REF24
1,"Y2",3.579 MHZ,TC310H,ECS-35-18-10X,ECS Inc,DK,XC1371-ND,CRYSTAL 3.579545 MHZ 18PF CYL,REF17
1,"Y3",4.032MHZ,SM49,ECS-40.3-20-5PX-TR,ECS Inc,DK,XC1258CT-ND,CRYSTAL 4.032MHZ 20PF SMD,REF16
7,"R8, R9, R15, R17, R19, R30, R33",4.75K,R0805,ERJ-6ENF4751V,Panasonic - ECG,DK,P4.75KCCT-ND,RES 4.75K OHM 1/8W 1% 0805 SMD,REF55
1,"D2",5.1V,SOD123,BZT52C5V1-7-F,Diodes Inc,DK,BZT52C5V1-FDITR-ND,DIODE ZENER 5.1V 500MW SOD-123,REF10
1,"R36",5.62K,R0805,ERJ-6ENF5621V,Panasonic - ECG,DK,P5.62KCCT-ND,RES 5.62K OHM 1/8W 1% 0805 SMD,REF59
1,"R38",8.25K,R0805,ERJ-6ENF8251V,Panasonic - ECG,DK,P8.25KCCT-ND,RES 8.25K OHM 1/8W 1% 0805 SMD,REF61
1,"RN1",10K,744-8,744C083103JPTR,CTS Resistor Products,DK,744C083103JPCT-ND,RES ARRAY 10K OHM 8TERM 4RES SMD,REF8
19,"R5, R10, R11, R18, R25, R28, R39, R40, R43, R50, R54, R56, R57, R58, R65, R67, R69, R70, R79",10K,R0805,ERJ-6ENF1002V,Panasonic - ECG,DK,P10.0KCCT-ND,RES 10.0K OHM 1/8W 1% 0805 SMD,REF47
5,"R26, R27, R63, R71, R75",10K,EVME-SIDE,EVM-EGGA00B14,Panasonic - ECG,DK,EGG14BK-ND,POT 10K OHM 6MM CERAMIC SIDE ADJ,REF42
2,"R2, R66",10K,EVM-L4G,EVM-L4GA00B14,Panasonic - ECG,DK,L4G14BK-ND,POT 10K OHM 4MM CERAMIC TOP ADJ,REF44
2,"C4, C51",10uF,C0805,C0805C106K9PACTU,Kemet,DK,399-3138-1-ND,CAP CERAMIC 10UF 6.3V X5R 0805,REF72
3,"C3, C21, C79",10uF,C3528/T,T491B106M016AT,Kemet,DK,399-3708-1-ND,CAPACITOR TANT 10UF 16V 20% SMD,REF25
1,"L4",10uH,PM-13,PM3308-100M,JW Miller A Bourns Company,DK,M9719CT-ND,INDUCTOR POWER 10UH SMD,REF21
1,"R42",11.3K,R0805,ERJ-6ENF1132V,Panasonic - ECG,DK,P11.3KCCT-ND,RES 11.3K OHM 1/8W 1% 0805 SMD,REF49
1,"Y1",16.000 MHz,TC38H,ECS-160-18-9X,ECS Inc,DK,XC1383-ND,CRYSTAL 16.000 MHZ 18PF CYL,REF18
1,"D8",18V,SMB,1SMB5931BT3G,ON Semiconductor,DK,1SMB5931BT3GOSTR-ND,DIODE ZENER 18V 3W SMB,REF36
9,"R23, R31, R44, R48, R51, R59, R64, R72, R76",22K,R0805,ERJ-6ENF2212V,Panasonic - ECG,DK,P22.1KCCT-ND,RES 22.1K OHM 1/8W 1% 0805 SMD,REF51
2,"C6, C7",22pF,C0805,C0805C220J5GACTU,Kemet,DK,399-1113-1-ND,CAP CERAMIC 22PF 50V NP0 0805,REF71
3,"C68, C70, C74",22uF,C3528/T,T491B226M016AT,Kemet,DK,399-3717-1-ND,CAPACITOR TANT 22UF 16V 20% SMD,REF26
