"Part","Value","Attributes","Package","Description","Part Num","Mfg Name","VID","Vendor Part Num","Description","XREF"
"B1(DNP)","BR1225A/HB","INSTALL ON PURCHASE","BR1225","LI BATTERY Panasonic","BR1225A/HB","Panasonic - BCG","DK","P061-ND","BATTERY LITH COIN HITEMP W/LEGS","REF41"
"C1","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C2","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C3","10uF","TANT/16V","C3528/T","POLARIZED CAP","T491B106M016AT","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
"C4","10uF","","C0805","NON-POLARIZED CAP","C0805C106K9PACTU","Kemet","DK","399-3138-1-ND","CAP CERAMIC 10UF 6.3V X5R 0805","REF72"
"C5","0.01uF","","C0805","NON-POLARIZED CAP","C0805C103K5RACTU","Kemet","DK","399-1158-1-ND","CAP 10000PF 50V CERAMIC X7R 0805","REF66"
"C6","22pF","","C0805","NON-POLARIZED CAP","C0805C220J5GACTU","Kemet","DK","399-1113-1-ND","CAP CERAMIC 22PF 50V NP0 0805","REF71"
"C7","22pF","","C0805","NON-POLARIZED CAP","C0805C220J5GACTU","Kemet","DK","399-1113-1-ND","CAP CERAMIC 22PF 50V NP0 0805","REF71"
"C8","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C9","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C10","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C11","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C12","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C13","0.47uF","","C0805","NON-POLARIZED CAP","C0805F474K3RACTU","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"C19","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C20","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C21","10uF","TANT/16V","C3528/T","POLARIZED CAP","T491B106M016AT","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
"C22","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C23","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"C24","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"C25","0.1uF","","C1206","NON-POLARIZED CAP","C1206C104K5RACTU","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
