"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","XREF"
"2","0.001uF","C0805C102K5RACTU","C0805","C40, C62","Kemet","DK","399-1147-1-ND","CAP 1000PF 50V CERAMIC X7R 0805","REF65"
"1","0.01uF","12065C103KAT2A","C1206","C80","AVX Corporation","DK","478-1542-1-ND","CAP CERM .01UF 10% 50V X7R 1206","REF3"
"1","0.01uF","C0805C103K5RACTU","C0805","C5","Kemet","DK","399-1158-1-ND","CAP 10000PF 50V CERAMIC X7R 0805","REF66"
"18","0.1uF","C0805F104K5RACTU","C0805","C2, C8, C9, C10, C19, C20, C30, C31, C43, C57, C63, C69, C71, C72, C73, C75, C76, C77","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"3","0.1uF","C1206C104K5RACTU","C1206","C23, C24, C25","Kemet","DK","399-1249-1-ND","CAP .10UF 50V CERAMIC X7R 1206","REF67"
"0","0.1uF","DNP","C3216/T","C78(DNP)","DO NOT PLACE","(N/A)","DO NOT PLACE","DO NOT PLACE","REF14"
"1","0.1uF","T491A104K035AT","C3216/T","C55","Kemet","DK","399-3676-1-ND","CAPACITOR TANT .10UF 35V 10% SMD","REF22"
"1","0.1uH","PM1210-R10J","L1206","L2","JW Miller A Bourns Company","DK","M6093CT-ND","INDUCTOR .10UH 5% 1210 SMD","REF20"
"2","0.047uF","C0805C473K5RACTU","C0805","C35, C38","Kemet","DK","399-1166-1-ND","CAP 47000PF 50V CERAMIC X7R 0805","REF68"
"3","0.47uF","C0805F474K3RACTU","C0805","C11, C12, C13","Kemet","DK","399-5112-1-ND","CAP CER .47UF 25V X7R 0805 FO","REF74"
"1","0.0068uF","C0805C682K5RACTU","C0805","C41","Kemet","DK","399-1157-1-ND","CAP 6800PF 50V CERAMIC X7R 0805","REF79"
"2","0R","RC0805JR-070RL","R0805","R80, R81","Yageo","DK","311-0.0ARCT-ND","RES 0.0 OHM 1/8W 5% 0805 SMD","REF92"
"2","1.00K","ERJ-6ENF1001V","R0805","R82, R83","Panasonic - ECG","DK","P1.00KCCT-ND","RES 1.00K OHM 1/8W 1% 0805 SMD","REF45"
"4","1M","ERJ-6ENF1004V","R0805","R16, R46, R55, R62","Panasonic - ECG","DK","P1.00MCCT-ND","RES 1.00M OHM 1/8W 1% 0805 SMD","REF46"
"14","1uF","C0805C105Z3VACTU","C0805","C1, C22, C39, C44, C45, C47, C50, C52, C58, C59, C61, C64, C65, C66","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"1","1uF","T491A105K016AT","C3216/T","C67","Kemet","DK","399-3678-1-ND","CAPACITOR TANT 1.0UF 16V 10% SMD","REF23"
"1","2.2uF","T491A225K010AT","C3216/T","C56","Kemet","DK","399-3690-1-ND","CAPACITOR TANT 2.2UF 10V 10% SMD","REF24"
"1","3.579 MHZ","ECS-35-18-10X","TC310H","Y2","ECS Inc","DK","XC1371-ND","CRYSTAL 3.579545 MHZ 18PF CYL","REF17"
"1","4.032MHZ","ECS-40.3-20-5PX-TR","SM49","Y3","ECS Inc","DK","XC1258CT-ND","CRYSTAL 4.032MHZ 20PF SMD","REF16"
"7","4.75K","ERJ-6ENF4751V","R0805","R8, R9, R15, R17, R19, R30, R33","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"1","5.1V","BZT52C5V1-7-F","SOD123","D2","Diodes Inc","DK","BZT52C5V1-FDITR-ND","DIODE ZENER 5.1V 500MW SOD-123","REF10"
"1","5.62K","ERJ-6ENF5621V","R0805","R36","Panasonic - ECG","DK","P5.62KCCT-ND","RES 5.62K OHM 1/8W 1% 0805 SMD","REF59"
"1","8.25K","ERJ-6ENF8251V","R0805","R38","Panasonic - ECG","DK","P8.25KCCT-ND","RES 8.25K OHM 1/8W 1% 0805 SMD","REF61"
"1","10K","744C083103JPTR","744-8","RN1","CTS Resistor Products","DK","744C083103JPCT-ND","RES ARRAY 10K OHM 8TERM 4RES SMD","REF8"
"19","10K","ERJ-6ENF1002V","R0805","R5, R10, R11, R18, R25, R28, R39, R40, R43, R50, R54, R56, R57, R58, R65, R67, R69, R70, R79","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"5","10K","EVM-EGGA00B14","EVME-SIDE","R26, R27, R63, R71, R75","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"2","10K","EVM-L4GA00B14","EVM-L4G","R2, R66","Panasonic - ECG","DK","L4G14BK-ND","POT 10K OHM 4MM CERAMIC TOP ADJ","REF44"
"2","10uF","C0805C106K9PACTU","C0805","C4, C51","Kemet","DK","399-3138-1-ND","CAP CERAMIC 10UF 6.3V X5R 0805","REF72"
"3","10uF","T491B106M016AT","C3528/T","C3, C21, C79","Kemet","DK","399-3708-1-ND","CAPACITOR TANT 10UF 16V 20% SMD","REF25"
