Digi-Key Part No.,Manufacturer Name,Mfr Part No.,Customer Reference,Qty1,
399-1147-1-ND,Kemet,C0805C102K5RACTU,REF65,2,
478-1542-1-ND,AVX Corporation,12065C103KAT2A,REF3,1,
399-1158-1-ND,Kemet,C0805C103K5RACTU,REF66,1,
399-5110-1-ND,Kemet,C0805F104K5RACTU,REF69,18,
399-1249-1-ND,Kemet,C1206C104K5RACTU,REF67,3,
399-3676-1-ND,Kemet,T491A104K035AT,REF22,1,
M6093CT-ND,JW Miller A Bourns Company,PM1210-R10J,REF20,1,
399-1166-1-ND,Kemet,C0805C473K5RACTU,REF68,2,
399-5112-1-ND,Kemet,C0805F474K3RACTU,REF74,3,
399-1157-1-ND,Kemet,C0805C682K5RACTU,REF79,1,
311-0.0ARCT-ND,Yageo,RC0805JR-070RL,REF92,2,
P1.00KCCT-ND,Panasonic - ECG,ERJ-6ENF1001V,REF45,2,
P1.00MCCT-ND,Panasonic - ECG,ERJ-6ENF1004V,REF46,4,
399-1293-1-ND,Kemet,C0805C105Z3VACTU,REF73,14,
399-3678-1-ND,Kemet,T491A105K016AT,REF23,1,
399-3690-1-ND,Kemet,T491A225K010AT,REF24,1,
XC1371-ND,ECS Inc,ECS-35-18-10X,REF17,1,
XC1258CT-ND,ECS Inc,ECS-40.3-20-5PX-TR,REF16,1,
P4.75KCCT-ND,Panasonic - ECG,ERJ-6ENF4751V,REF55,7,
BZT52C5V1-FDITR-ND,Diodes Inc,BZT52C5V1-7-F,REF10,1,
P5.62KCCT-ND,Panasonic - ECG,ERJ-6ENF5621V,REF59,1,
P8.25KCCT-ND,Panasonic - ECG,ERJ-6ENF8251V,REF61,1,
744C083103JPCT-ND,CTS Resistor Products,744C083103JPTR,REF8,1,
P10.0KCCT-ND,Panasonic - ECG,ERJ-6ENF1002V,REF47,19,
EGG14BK-ND,Panasonic - ECG,EVM-EGGA00B14,REF42,5,
L4G14BK-ND,Panasonic - ECG,EVM-L4GA00B14,REF44,2,
399-3138-1-ND,Kemet,C0805C106K9PACTU,REF72,2,
399-3708-1-ND,Kemet,T491B106M016AT,REF25,3,
M9719CT-ND,JW Miller A Bourns Company,PM3308-100M,REF21,1,
P11.3KCCT-ND,Panasonic - ECG,ERJ-6ENF1132V,REF49,1,
XC1383-ND,ECS Inc,ECS-160-18-9X,REF18,1,
